Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
Ornithologischer Jahresbericht Helgoland	Ornithol. Jahresber. Helgol	Ornithol Jahresber Helgol
Ornithos	Ornithos	Ornithos
Ornitologia Colombiana	Ornitol. Colomb	Ornitol Colomb
Ornitologia Neotropical	Ornitol. Neotrop	Ornitol Neotrop
Ornitologicheski Informatsionen Byuletin	Ornitol. Inf. Byul	Ornitol Inf Byul
Ornitologiya	Ornitologiya	Ornitologiya
ORSIS	ORSIS	ORSIS
ORSTOM (Office de la Recherche Scientifique et Technique Outre-Mer) Collection Initiations-Documentations Techniques	ORSTOM. (Off. Rech. Sci. Tech. Outre-Mer). Collect. Initiations-Doc. Tech	ORSTOM (Off Rech Sci Tech Outre-Mer) Collect Initiations-Doc Tech
Orthoptera Recording Scheme Newsletter	Orthoptera. Rec. Scheme. Newsl	Orthoptera Rec Scheme Newsl
Oryctos	Oryctos	Oryctos
Oryza	Oryza	Oryza
Oslenytani Vitak	Oslenytani. Vitak	Oslenytani Vitak
Osnabruecker Naturwissenschaftliche Mitteilungen	Osnabr. Natwiss. Mitt	Osnabr Natwiss Mitt
Osnovy Tsestodologii	Osn. Tsestodologii	Osn Tsestodologii
Osprey	Osprey	Osprey
Ossa	Ossa	Ossa
Osservatorio di Fisica Terrestre e Museo Antonio Stoppani del Seminario Arcivescovile di Milano Annuario	Oss. Fis. Terr. Mus. Antonio. Stoppani. Semin. Arc. Milano. Annu	Oss Fis Terr Mus Antonio Stoppani Semin Arc Milano Annu
Ostrich Supplement	Ostrich. Suppl	Ostrich Suppl
Otago Museum Bulletin	Otago. Mus. Bull	Otago Mus Bull
Otechestvennaya Geologiya	Otechestv. Geol	Otechestv Geol
Otsuchi Marine Research Center Report	Otsuchi. Mar. Res. Cent. Rep	Otsuchi Mar Res Cent Rep
Otsuchi Marine Science	Otsuchi. Mar. Sci	Otsuchi Mar Sci
Ottar	Ottar	Ottar
Otters (Earsham)	Otters. (Earsham)	Otters (Earsham)
Outlook on Agriculture	Outlook. Agric	Outlook Agric
Owl News	Owl. News	Owl News
Oxbow Monograph	Oxbow. Monogr	Oxbow Monogr
Oxford Biogeography Series	Oxf. Biogeogr. Ser	Oxf Biogeogr Ser
Oxford Monographs on Biogeography	Oxf. Monogr. Biogeogr	Oxf Monogr Biogeogr
Oxford Monographs on Geology and Geophysics	Oxf. Monogr. Geol. Geophys	Oxf Monogr Geol Geophys
Oxford Ornithological Society Newsletter	Oxf. Ornithol. Soc. Newsl	Oxf Ornithol Soc Newsl
Oxford Ornithology Series	Oxf. Ornithol. Ser	Oxf Ornithol Ser
Oxford Psychology Series	Oxf. Psychol. Ser	Oxf Psychol Ser
Oxford Reviews of Reproductive Biology	Oxf. Rev. Reprod. Biol	Oxf Rev Reprod Biol
Oxford Series in Ecology and Evolution	Oxf. Ser. Ecol. Evol	Oxf Ser Ecol Evol
Oxford Surveys in Evolutionary Biology	Oxf. Surv. Evol. Biol	Oxf Surv Evol Biol
Oxford Surveys on Eukaryotic Genes	Oxf. Surv. Eukaryotic. Genes	Oxf Surv Eukaryotic Genes
Oxford University Museum Publication	Oxf. Univ. Mus. Publ	Oxf Univ Mus Publ
Oxfordshire Museums Occasional Paper	Oxfs. Mus. Occas. Pap	Oxfs Mus Occas Pap
Oxyura	Oxyura	Oxyura
Pachyderm	Pachyderm	Pachyderm
Pacific Basin Diptera News	Pac. Basin. Diptera. News	Pac Basin Diptera News
Pacific Center for International Studies International Wildlife Law Series Occasional Paper	Pac. Cent. Int. Stud. Int. Wildl. Law Ser. Occas. Pap	Pac Cent Int Stud Int Wildl Law Ser Occas Pap
Pacific Insects Monograph	Pac. Insects Monogr	Pac Insects Monogr
Pacific Marine Fisheries Commission Annual Report	Pac. Mar. Fish Comm. Annu. Rep	Pac Mar Fish Comm Annu Rep
Pacific Marine Fishes	Pac. Mar. Fish	Pac Mar Fish
Pacific Northwest	Pac. Northwest	Pac Northwest
Pacific Region Science Review	Pac. Reg. Sci. Rev	Pac Reg Sci Rev
Pacific Salmon Commission Technical Report	Pac. Salmon Comm. Tech. Rep	Pac Salmon Comm Tech Rep
Pacific Science Congress Formal Proceedings	Pac. Sci. Congr. Form. Proc	Pac Sci Congr Form Proc
Pacific Seabird Group Bulletin	Pac. SeaBird Group Bull	Pac Seabird Group Bull
Pacific Seabird Group Technical Publication	Pac. Seab. Group Tech. Publ	Pac Seab Group Tech Publ
Pacific Seabirds	Pac. Seab	Pac Seab
Pacific Studies	Pac. Stud	Pac Stud
Paedagogische Hochschule Liselotte Herrmann Guestrow Wissenschaftliche Zeitschrift Mathematisch-Naturwissenschaftliche Fakultaet	Paedagog. Hochsch. Liselotte. Herrmann. Guestrow. Wiss. Z. Math. Natwiss. Fak	Paedagog Hochsch Liselotte Herrmann Guestrow Wiss Z Math Natwiss Fak
Paiperlek	Paiperlek	Paiperlek
Pakistan Entomologist	Pak. Entomol	Pak Entomol
Pakistan Journal of Agricultural Research	Pak. J. Agric. Res	Pak J Agric Res
Pakistan Journal of Agricultural Sciences	Pak. J. Agric. Sci	Pak J Agric Sci
Pakistan Journal of Biochemistry	Pak. J. Biochem	Pak J Biochem
Pakistan Journal of Biological Sciences	Pak. J. Biol. Sci	Pak J Biol Sci
Pakistan Journal of Botany	Pak. J. Bot	Pak J Bot
Pakistan Journal of Entomology Karachi	Pak. J. Entomol. Karachi	Pak J Entomol Karachi
Pakistan Journal of Forestry	Pak. J. For	Pak J For
Pakistan Journal of Nematology	Pak. J. Nematol	Pak J Nematol
Pakistan Journal of Science	Pak. J. Sci	Pak J Sci
Pakistan Journal of Scientific and Industrial Research	Pak. J. Sci. Ind. Res	Pak J Sci Ind Res
Pakistan Journal of Zoology Supplement Series	Pak. J. Zool. Suppl. Ser	Pak J Zool Suppl Ser
Pakistan Veterinary Journal	Pak. Vet. J	Pak Vet J
Palaeo Ichthyologica	Palaeo. Ichthyol	Palaeo Ichthyol
Palaeobotanist (Lucknow)	Palaeobotanist. (Lucknow)	Palaeobotanist (Lucknow)
Palaeoecology of Africa and the Surrounding Islands	Palaeoecol. Afr. Surround. Isl	Palaeoecol Afr Surround Isl
Palaeogeography Palaeoclimatology Palaeoecology	Palaeogeogr. Palaeoclimatol. Palaeoecol	Palaeogeogr Palaeoclimatol Palaeoecol
Palaeohistoria	Palaeohistoria	Palaeohistoria
Palaeontographia Italica	Palaeontogr. Ital	Palaeontogr Ital
Palaeontographica Abteilung A Palaeozoologie-Stratigraphie	Palaeontogr. Abt. A. Palaeozool-Stratigr	Palaeontogr Abt A Palaeozool-Stratigr
Palaeontographica Abteilung B Palaeophytologie	Palaeontogr. Abt. B. Palaeophytol	Palaeontogr Abt B Palaeophytol
Palaeontographica Americana	Palaeontogr. Am	Palaeontogr Am
Palaeontographica Canadiana	Palaeontogr. Can	Palaeontogr Can
Palaeontographical Society Monographs (London)	Palaeontogr. Soc. Monogr. (Lond.)	Palaeontogr Soc Monogr (Lond.)
Palaeontologia Africana	Palaeontol. Afr	Palaeontol Afr
Palaeontologia Cathayana	Palaeontol. Cathayana	Palaeontol Cathayana
Palaeontologia Electronica	Palaeontol. Electron	Palaeontol Electron
Palaeontologia Indica	Palaeontol. Indica	Palaeontol Indica
Palaeontologia Jugoslavica	Palaeontol. Jugosl	Palaeontol Jugosl
Palaeontologia Polonica	Palaeontol. Pol	Palaeontol Pol
Palaeontologia Sinica Series B	Palaeontol. Sin. Ser. B	Palaeontol Sin Ser B
Palaeontologia Sinica Series C	Palaeontol. Sin. Ser. C	Palaeontol Sin Ser C
Palaeontologia Sinica Series D	Palaeontol. Sin. Ser. D	Palaeontol Sin Ser D
Palaeontological Association Field Guides to Fossils	Palaeontol. Assoc. Field Guide. Fossils	Palaeontol Assoc Field Guide Fossils
Palaeontological Society of Japan Special Papers	Palaeontol. Soc. Jpn. Spec. Pap	Palaeontol Soc Jpn Spec Pap
Palaeontologische Zeitschrift	Palaeontol. Z	Palaeontol Z
Palaeontology (Oxford)	Palaeontology. (Oxf)	Palaeontology (Oxf)
Palaeontology Newsletter	Palaeontol. Newsl	Palaeontol Newsl
Palaeontos	Palaeontos	Palaeontos
Palaeopelagos Special Publication	Palaeopelagos. Spec. Publ	Palaeopelagos Spec Publ
Palaeopelagos	Palaeopelagos	Palaeopelagos
Palaeovertebrata (Montpellier)	Palaeovertebrata. (Montp)	Palaeovertebrata (Montp)
Palaeoworld	Palaeoworld	Palaeoworld
PalArch Series Vertebrate Palaeontology	PalArch. Ser. Vertebr. Palaeontol	PalArch Ser Vertebr Palaeontol
Paleobiologie Continentale	Paleobiol. Cont	Paleobiol Cont
Paleobios	Paleobios	Paleobios
Paleobotanica Latinoamericana	Paleobot. Latinoam	Paleobot Latinoam
Paleomammalia	Paleomammalia	Paleomammalia
Paleontographica Indica	Paleontogr. Indica	Paleontogr Indica
Paleontologia i Evolucio	Paleontol. Evolucio	Paleontol Evolucio
Paleontologia Lombarda	Paleontol. Lomb	Paleontol Lomb
Paleontologia Stratigrafica ed Evoluzione	Paleontol. Stratigr. Evol	Paleontol Stratigr Evol
Paleontological Journal	Paleontol. J	Paleontol J
Paleontological Research	Paleontol. Res	Paleontol Res
Paleontological Society Memoir	Paleontol. Soc. Mem	Paleontol Soc Mem
Paleontological Society Papers	Paleontol. Soc. Pap	Paleontol Soc Pap
Paleontological Society Special Publication	Paleontol. Soc. Spec. Publ	Paleontol Soc Spec Publ
Paleontologicheskii Sbornik	Paleontol. Sb	Paleontol Sb
Paleontologicheskii Zhurnal	Paleontol. Zh	Paleontol Zh
Paleontologie (Prague)	Paleontologie. (Prague)	Paleontologie (Prague)
Paleontologiya Stratigrafiya i Litologiya	Paleontol. Stratigr. Litol	Paleontol Stratigr Litol
Paleontolohichnyi Zbirnyk	Paleontolohichnyi. Zb	Paleontolohichnyi Zb
Paleorient	Paleorient	Paleorient
Palinologia	Palinologia	Palinologia
Pallarge	Pallarge	Pallarge
Pallidula	Pallidula	Pallidula
Palms	Palms	Palms
Paludicola	Paludicola	Paludicola
Palynology	Palynology	Palynology
Pan Africa News	Pan. Afr. News	Pan Afr News
Pan American Acridological Society Proceedings Triennial Meeting	Pan. Am. Acridol. Soc. Proc. Trienn. Meet	Pan Am Acridol Soc Proc Trienn Meet
Pan American Health Organization Technical Paper	Pan. Am. Health Organ. Tech. Pap	Pan Am Health Organ Tech Pap
Pan-American Journal of Aquatic Sciences	Pan-Am. J. Aquat. Sci	Pan-Am J Aquat Sci
Panjab University Research Journal-Science	Panjab. Univ. Res. J. Sci	Panjab Univ Res J Sci
Papageien	Papageien	Papageien
Papeis Avulsos de Zoologia (Sao Paulo)	Pap. Avulsos. Zool. (Sao Paulo)	Pap Avulsos Zool (Sao Paulo)
Papeis Avulsos Publicacao Particular	Pap. Avulsos. Publ. Part	Pap Avulsos Publ Part
Papers in Florida Paleontology	Pap. Fla. Paleontol	Pap Fla Paleontol
Papers of the Peabody Museum of Archaeology and Ethnology Harvard University	Pap. Peabody. Mus. Archaeol. Ethnol. Harv. Univ	Pap Peabody Mus Archaeol Ethnol Harv Univ
Papilio International	Papilio. Int	Papilio Int
Papilio New Series	Papilio. New. Ser	Papilio New Ser
Papua New Guinea Bird Society Newsletter	P. N. G. Bird Soc. Newsl	P N G Bird Soc Newsl
Papua New Guinea Journal of Agriculture Forestry and Fisheries	P. N. G. J. Agric. For. Fish	P N G J Agric For Fish
Papua New Guinea Medical Journal	P. N. G. Med. J	P N G Med J
Papustyla	Papustyla	Papustyla
Parasite Immunology (Oxford)	Parasite. Immunol. (Oxf)	Parasite Immunol (Oxf)
Parasitica (Gembloux)	Parasitica. (Gembloux)	Parasitica (Gembloux)
Parasitologia Al Dia	Parasitol. Dia	Parasitol Dia
Parasitologia Hungarica	Parasitol. Hung	Parasitol Hung
Parasitologia Latinoamericana	Parasitol. Latinoam	Parasitol Latinoam
Parassitologia (Rome)	Parassitologia. (Rome)	Parassitologia (Rome)
Parazitologicheskii Sbornik	Parazitol. Sb	Parazitol Sb
Parazitologiya (St. Petersburg)	Parazitologiya. (St. Petersb)	Parazitologiya (St Petersb)
Parcs Nationaux	Parcs. Nationaux	Parcs Nationaux
Park Science	Park Sci	Park Sci
Parki Narodowe i Rezerwaty Przyrody	Parki. Nar. Rezerwaty. Przyr	Parki Nar Rezerwaty Przyr
Parks (Newbury)	Parks (Newbury)	Parks (Newbury)
Parks Victoria Technical Series	Parks Vic. Tech. Ser	Parks Vic Tech Ser
Parks	Parks	Parks
Parus International	Parus. Int	Parus Int
Passenger Pigeon	Passenger. Pigeon	Passenger Pigeon
Passer (Brussels)	Passer. (Bruss)	Passer (Bruss)
Pathobiology	Pathobiology	Pathobiology
Pathology International	Pathol. Int	Pathol Int
Paula-Coutiana	Paula-Coutiana	Paula-Coutiana
Pavlovian Journal of Biological Science	Pavlov. J. Biol. Sci	Pavlov J Biol Sci
Peabody Museum of Natural History Yale University Bulletin	Peabody. Mus. Nat. Hist. Yale. Univ. Bull	Peabody Mus Nat Hist Yale Univ Bull
Peak District Journal of Natural History and Archaeology Special Publication	Peak. Dist. J. Nat. Hist. Archaeol. Spec. Publ	Peak Dist J Nat Hist Archaeol Spec Publ
Peak District Journal of Natural History and Archaeology	Peak. Dist. J. Nat. Hist. Archaeol	Peak Dist J Nat Hist Archaeol
Pearce-Sellards Series Texas Memorial Museum	Pearce-Sellards. Ser. Tex. Mem. Mus	Pearce-Sellards Ser Tex Mem Mus
Peche Maritime	Peche. Marit	Peche Marit
Peckhamia	Peckhamia	Peckhamia
Peckiana	Peckiana	Peckiana
Pedemontanum	Pedemontanum	Pedemontanum
Pedofauna	Pedofauna	Pedofauna
Pedozoologica Hungarica	Pedozool. Hung	Pedozool Hung
Pembrokeshire Bird Report	Pembs. Bird Rep	Pembs Bird Rep
Pendik Hayvan Hastaliklari Merkez Arastirma Enstitusu Dergisi	Pendik. Hayvan. Hastaliklari. Merkez. Arastirma. Enst. Derg	Pendik Hayvan Hastaliklari Merkez Arastirma Enst Derg
Pendik Veteriner Mikrobiyoloji Dergisi	Pendik. Vet. Mikrobiyol. Derg	Pendik Vet Mikrobiyol Derg
Pendik Veteriner Mikrobiyoloji Enstitusu Dergisi	Pendik. Vet. Mikrobiyol. Enst. Derg	Pendik Vet Mikrobiyol Enst Derg
Penelope	Penelope	Penelope
Penguin Conservation	Penguin. Conserv	Penguin Conserv
Penn ar Bed (Brest)	Penn. Bed. (Brest)	Penn Bed (Brest)
Pennsylvania Agricultural Experiment Station Bulletin	Pa. Agric. Exp. Stn. Bull	Pa Agric Exp Stn Bull
Pennsylvania Birds	Pa. Birds	Pa Birds
Pensoft Series Faunistica	Pensoft. Ser. Faun	Pensoft Ser Faun
Perception & Psychophysics	Percept. Psychophys	Percept Psychophys
Perception (London)	Perception. (Lond.)	Perception (Lond.)
Peregrine Fund Annual Report	Peregrine. Fund. Annu. Rep	Peregrine Fund Annu Rep
Peregrine Fund Newsletter	Peregrine. Fund. Newsl	Peregrine Fund Newsl
Peregrine	Peregrine	Peregrine
Pergamon Studies in Neuroscience	Pergamon. Stud. Neurosci	Pergamon Stud Neurosci
Periplo	Periplo	Periplo
Perla	Perla	Perla
Pernatye Khishchniki i ikh Okhrana	Pernatye. Khishchniki. Okhr	Pernatye Khishchniki Okhr
Perspectives in Biology and Medicine	Perspect. Biol. Med	Perspect Biol Med
Perspectives in Cytology and Genetics	Perspect. Cytol. Genet	Perspect Cytol Genet
Perspectives in Ethology	Perspect. Ethol	Perspect Ethol
Perspectives in Plant Ecology Evolution and Systematics	Perspect. Plant Ecol. Evol. Syst	Perspect Plant Ecol Evol Syst
Perspectives in Vertebrate Science	Perspect. Vertebr. Sci	Perspect Vertebr Sci
Pertanika Journal of Tropical Agricultural Science	Pertanika. J. Trop. Agric. Sci	Pertanika J Trop Agric Sci
Pertanika	Pertanika	Pertanika
Pesquisa Agropecuaria Brasileira	Pesqui. Agropecu. Bras	Pesqui Agropecu Bras
Pesquisa Veterinaria Brasileira	Pesqui. Vet. Bras	Pesqui Vet Bras
Pest Control	Pest Control	Pest Control
Pest Management and Economic Zoology	Pest Manag. Econ. Zool	Pest Manag Econ Zool
Pest Management Paper Simon Fraser University	Pest Manage. Pap. Simon. Fraser. Univ	Pest Manage Pap Simon Fraser Univ
Pesticide Poisoning of Animals	Pestic. Poisoning. Anim	Pestic Poisoning Anim
Pestology (Bombay)	Pestology. (Bombay)	Pestology (Bombay)
Pestycydy	Pestycydy	Pestycydy
Petalura Special-Volume	Petalura. Spec-Vol	Petalura Spec-Vol
Petalura	Petalura	Petalura
Peterson Field Guide Series	Peterson. Field Guide. Ser	Peterson Field Guide Ser
Petroleum Geology of Taiwan	Pet. Geol. Taiwan	Pet Geol Taiwan
Petros	Petros	Petros
Pfaelzer Heimat	Pfaelz. Heim	Pfaelz Heim
Pflanzenschutzberichte	Pflanzenschutzberichte	Pflanzenschutzberichte
Pflanzenschutz-Nachrichten Bayer	Pflanzenschutz-Nachr. Bayer	Pflanzenschutz-Nachr Bayer
Pfluegers Archiv European Journal of Physiology	Pflueg. Arch. Eur. J. Physiol	Pflueg Arch Eur J Physiol
Phasmid Studies	Phasmid. Stud	Phasmid Stud
Phasmid Study Group Newsletter	Phasmid. Study Group Newsl	Phasmid Study Group Newsl
Phegea	Phegea	Phegea
Phelsuma	Phelsuma	Phelsuma
Philadelphia Herpetological Society Newsletter	Phila. Herpetol. Soc. Newsl	Phila Herpetol Soc Newsl
Philippia	Philippia	Philippia
Philippine Agriculturist	Philipp. Agric	Philipp Agric
Philippine Entomologist	Philipp. Entomol	Philipp Entomol
Philippine Geologist	Philipp. Geol	Philipp Geol
Philippine Journal of Coconut Studies	Philipp. J. Coconut. Stud	Philipp J Coconut Stud
Philippine Journal of Crop Science	Philipp. J. Crop Sci	Philipp J Crop Sci
Philippine Journal of Microbiology and Infectious Diseases	Philipp. J. Microbiol. Infect. Dis	Philipp J Microbiol Infect Dis
Philippine Journal of Science	Philipp. J. Sci	Philipp J Sci
Philippine Journal of Veterinary Medicine	Philipp. J. Vet. Med	Philipp J Vet Med
Philosophical Transactions of the Royal Society of London A Mathematical and Physical Sciences	Philos. Trans. R. Soc. Lond. A. Math. Phys. Sci	Philos Trans R Soc Lond A Math Phys Sci
Philosophical Transactions of the Royal Society of London B Biological Sciences	Philos. Trans. R. Soc. Lond. B. Biol. Sci	Philos Trans R Soc Lond B Biol Sci
Philosophical Transactions of the Royal Society of London Series A Mathematical Physical and Engineering Sciences	Philos. Trans. R. Soc. Lond. Ser. A Math. Phys. Eng. Sci	Philos Trans R Soc Lond Ser A Math Phys Eng Sci
Philosophical Transactions of the Royal Society of London Series A Physical Sciences and Engineering	Philos. Trans. R. Soc. Lond. Ser. A Phys. Sci. Eng	Philos Trans R Soc Lond Ser A Phys Sci Eng
Philosophy (Cambridge)	Philosophy. (Camb)	Philosophy (Camb)
Phoenix	Phoenix	Phoenix
Photobiochemistry and Photobiophysics	Photobiochem. Photobiophys	Photobiochem Photobiophys
Photobiology Bulletin	Photobiol. Bull	Photobiol Bull
Photosynthetica (Prague)	Photosynthetica. (Prague)	Photosynthetica (Prague)
Phuket Marine Biological Center Research Bulletin	Phuket. Mar. Biol. Cent. Res. Bull	Phuket Mar Biol Cent Res Bull
Phuket Marine Biological Center Special Publication	Phuket. Mar. Biol. Cent. Spec. Publ	Phuket Mar Biol Cent Spec Publ
Phyllomedusa	Phyllomedusa	Phyllomedusa
Phyloinformatics	Phyloinformatics	Phyloinformatics
Physical Aerobiology	Phys. Aerobiol	Phys Aerobiol
Physical Review E	Phys. Rev. E	Phys Rev E
Physiologia Bohemoslovaca	Physiol. Bohemoslov	Physiol Bohemoslov
Physiological Chemistry and Physics and Medical NMR	Physiol. Chem. Phys. Med. NMR	Physiol Chem Phys Med NMR
Physiological Research	Physiol. Res	Physiol Res
Physiologist	Physiologist	Physiologist
Physiology and Ecology Japan	Physiol. Ecol. Jpn	Physiol Ecol Jpn
Physis Seccion A los Oceanos y sus Organismos	Physis. Secc. A. Oceanos. Org	Physis Secc A Oceanos Org
Physis Seccion B las Aguas Continentales y sus Organismos	Physis. Secc. B. Aguas. Cont. Org	Physis Secc B Aguas Cont Org
Physis Seccion C los Continentes y los Organismos Terrestres	Physis. Secc. C. Cont. Org. Terr	Physis Secc C Cont Org Terr
Physis Secciones A B y C (Buenos Aires)	Physis. Secc. A. B. C. (B. Aires)	Physis Secc A B C (B Aires)
Phytoma la Defense des Vegetaux	Phytoma. Def. Veg	Phytoma Def Veg
Phytoma	Phytoma	Phytoma
Phyton (Horn)	Phyton. (Horn)	Phyton (Horn)
Phytophylactica	Phytophylactica	Phytophylactica
Pianura Monografie	Pianura. Monogr	Pianura Monogr
Pianura	Pianura	Pianura
Pica	Pica	Pica
PICES Special Publication	PICES. Spec. Publ	PICES Spec Publ
Picus	Picus	Picus
Pigment Cell Research Supplement	Pigment. Cell Res. Suppl	Pigment Cell Res Suppl
Pigment Cell Research	Pigm. Cell Res	Pigm Cell Res
Pigs Peccaries and Hippos News	Pigs. Peccaries. Hippos. News	Pigs Peccaries Hippos News
Pilot	Pilot	Pilot
PINSA B	PINSA. B	PINSA B
Pirata	Pirata	Pirata
Pirineos	Pirineos	Pirineos
Pisciculture Francaise	Piscic. Fr	Piscic Fr
Pistrac	Pistrac	Pistrac
Pitirre	Pitirre	Pitirre
PLACE Research Centre University College of Ripon and York St. John Occasional Paper	PLACE. Res. Cent. Univ. Coll. Ripon. York. St. John. Occas. Pap	PLACE Res Cent Univ Coll Ripon York St John Occas Pap
Placenta	Placenta	Placenta
Plains Anthropologist	Plains. Anthropol	Plains Anthropol
Plankton & Benthos Research	Plankton. Benthos. Res	Plankton Benthos Res
Plankton Newsletter	Plankton. Newsl	Plankton Newsl
Planning and Management Series	Plan. Manag. Ser	Plan Manag Ser
Plant and Cell Physiology	Plant Cell Physiol	Plant Cell Physiol
Plant and Microbial Biotechnology Research Series	Plant Microb. Biotechnol. Res. Ser	Plant Microb Biotechnol Res Ser
Plant Biology (New York)	Plant Biol. (N. Y.)	Plant Biol (N Y)
Plant Biology (Stuttgart)	Plant Biol. (Stuttg)	Plant Biol (Stuttg)
Plant Biosystems	Plant Biosyst	Plant Biosyst
Plant Disease Research	Plant Dis. Res	Plant Dis Res
Plant Health	Plant Health	Plant Health
Plant Pathology (Oxford)	Plant Pathol. (Oxf)	Plant Pathol (Oxf)
Plant Pests & Diseases Research Institute Insect Taxonomy Research Department Publication	Plant Pests Dis. Res. Inst. Insect Taxon. Res. Dep. Publ	Plant Pests Dis Res Inst Insect Taxon Res Dep Publ
Plant Physiology (Rockville)	Plant Physiol. (Rockv)	Plant Physiol (Rockv)
Plant Physiology and Biochemistry (Paris)	Plant Physiol. Biochem. (Paris)	Plant Physiol Biochem (Paris)
Plant Protection Bulletin (Faridabad)	Plant Prot. Bull. (Faridabad)	Plant Prot Bull (Faridabad)
Plant Protection Bulletin (Taichung)	Plant Prot. Bull. (Taichung)	Plant Prot Bull (Taichung)
